iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,50,0.111359,0.132060,2.809640,399,21,0.145968
0,1,42,0.093541,0.000000,1.241888,407,21,0.000000
0,2,27,0.060134,0.000000,0.979586,422,44,0.000000
0,3,59,0.131403,0.197068,2.634023,390,21,0.217823
0,4,66,0.146993,0.069073,3.325948,383,21,0.076348
0,5,26,0.057906,0.066582,1.406291,423,21,0.073594
0,6,46,0.102450,0.000000,2.034388,403,21,0.000000
0,7,29,0.064588,0.005702,2.002805,420,21,0.006303
0,8,13,0.028953,0.000000,0.262941,436,243,0.000000
0,9,55,0.122494,0.115380,3.092316,394,21,0.127531
0,10,33,0.073497,0.000000,1.091042,416,21,0.000000
0,11,32,0.071269,0.000000,1.356408,417,58,0.000000
0,12,22,0.048998,0.000000,0.884077,427,37,0.000000
0,13,60,0.133630,0.024176,2.342837,389,21,0.026722
0,14,29,0.064588,0.149997,1.101196,420,21,0.715795
0,15,46,0.102450,0.095837,2.152442,403,21,0.105930
0,16,48,0.106904,0.000000,2.696730,401,22,0.000000
0,17,37,0.082405,0.000000,1.616763,412,22,0.000000
0,18,29,0.064588,0.000000,1.200752,420,25,0.000000
0,19,24,0.053452,0.000000,0.920795,425,108,0.000000
0,20,51,0.113586,0.000000,2.448446,398,21,0.000000
0,21,28,0.062361,0.000000,1.068549,421,41,0.000000
0,22,49,0.109131,0.023992,2.172569,400,21,0.026519
0,23,20,0.044543,0.000000,0.437119,429,49,0.000000
0,24,34,0.075724,0.113761,2.412064,415,31,0.125742
0,25,29,0.064588,0.000000,0.911580,420,30,0.000000
0,26,14,0.031180,0.000000,0.212037,435,223,0.000000
0,27,13,0.028953,0.000000,0.063019,436,26,0.000000
0,28,3,0.006682,0.000000,0.159441,446,393,0.000000
0,29,64,0.142539,0.041118,2.951600,385,21,0.045448
0,30,24,0.053452,0.000000,0.567817,425,71,0.000000
0,31,94,0.209354,0.260745,5.970511,355,21,0.288206
0,32,17,0.037862,0.000000,0.466444,432,27,0.000000
0,33,21,0.046771,0.000000,0.650251,428,22,0.000000
0,34,40,0.089087,0.000000,1.481928,409,22,0.000000
0,35,42,0.093541,0.000000,2.032915,407,21,0.000000
0,36,50,0.111359,0.000000,3.011707,399,22,0.000000
0,37,36,0.080178,0.000000,1.472659,413,21,0.000000
0,38,47,0.104677,0.146560,2.558710,402,21,0.711996
0,39,14,0.031180,0.000000,0.403576,435,32,0.000000
0,40,42,0.093541,0.109588,2.310369,407,21,0.121130
0,41,30,0.066815,0.000000,1.208576,419,43,0.000000
0,42,25,0.055679,0.000000,1.256188,424,81,0.000000
0,43,36,0.080178,0.012287,1.612663,413,30,0.013581
0,44,50,0.111359,0.108867,2.415772,399,21,0.120333
0,45,51,0.113586,0.000000,1.879220,398,21,0.000000
0,46,40,0.089087,0.000000,1.757081,409,21,0.000000
0,47,5,0.011136,0.000000,0.286971,444,358,0.000000
0,48,66,0.146993,0.000000,2.490463,383,21,0.000000
0,49,10,0.022272,0.000000,0.104050,439,57,0.000000
0,50,6,0.013363,0.000000,0.124037,443,338,0.000000
