cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,23.000000,634,-1.569566,0.051111,0.004065,0.061245,3.038565
1,23.000000,635,-1.634769,0.051111,0.003897,0.074305,4.373971
2,23.000000,636,-1.528820,0.051111,0.004104,0.056672,6.271421
3,23.000000,637,-1.440930,0.051111,0.003760,0.065091,9.627315
4,23.000000,638,-1.506614,0.051111,0.003341,0.107485,23.997706
5,23.000000,639,-1.412912,0.051111,0.003467,0.110019,22.624074
6,23.000000,640,-1.473377,0.051120,0.003365,0.118079,11.880590
7,23.000000,641,-1.388226,0.051111,0.003182,0.178048,21.349563
8,23.000000,642,-1.442235,0.051111,0.003380,0.136612,10.808898
9,23.000000,643,-1.287298,0.051111,0.003219,0.135306,30.526282
10,23.000000,644,-1.480007,0.051111,0.003297,0.106114,8.437846
11,23.000000,645,-1.433419,0.051111,0.003787,0.174250,7.265906
12,23.000000,646,-1.381721,0.051111,0.003614,0.120462,23.566808
13,23.000000,647,-1.497758,0.051111,0.003691,0.123954,10.069449
14,23.000000,648,-1.528693,0.051111,0.003688,0.120769,7.337840
15,23.000000,649,-1.410032,0.051111,0.003527,0.179460,9.742014
16,23.000000,650,-1.638236,0.051111,0.003992,0.161339,4.675125
17,22.957599,651,-1.338268,0.051017,0.003615,0.194649,27.794220
18,22.923080,652,-1.264598,0.050940,0.003400,0.148649,30.565275
19,22.870321,653,-1.336437,0.050823,0.003472,0.163469,27.262887
20,22.807222,654,-1.337060,0.050683,0.003408,0.173358,27.726968
21,22.732101,655,-1.459166,0.050516,0.003541,0.161639,9.182847
22,22.684866,656,-1.406395,0.050411,0.003310,0.180883,10.278447
23,22.642301,657,-1.309631,0.050316,0.003564,0.180976,30.550387
24,22.595464,658,-1.405527,0.050212,0.003307,0.216495,7.593515
25,22.537957,659,-1.316563,0.050084,0.003375,0.195626,11.479336
26,22.501828,660,-1.271386,0.050004,0.003260,0.171516,30.516484
27,22.478216,661,-1.335872,0.049952,0.003031,0.152366,9.930135
28,22.434843,662,-1.361557,0.049855,0.003213,0.188667,9.053472
29,22.406382,663,-1.216300,0.049792,0.003084,0.170015,27.353861
30,22.377751,664,-1.249236,0.049728,0.003127,0.153477,26.427093
31,22.337655,665,-1.266980,0.049639,0.003224,0.201242,27.237756
32,22.290293,666,-1.393498,0.049534,0.003145,0.186500,7.818360
33,22.258750,667,-1.417196,0.049464,0.003251,0.170453,6.103931
34,22.233437,668,-1.292827,0.049408,0.003187,0.143369,14.070992
35,22.212142,669,-1.291809,0.049360,0.003296,0.133066,28.117510
36,22.188421,670,-1.232421,0.049308,0.003256,0.149346,30.122506
37,22.158377,671,-1.224491,0.049241,0.003406,0.152573,30.576135
38,22.126486,672,-1.379207,0.049170,0.003220,0.161234,4.399498
39,22.098885,673,-1.360408,0.049109,0.003037,0.195157,12.275199
40,22.072638,674,-1.349467,0.049050,0.003040,0.157535,23.449909
41,22.050556,675,-1.255034,0.049001,0.003083,0.208373,12.369816
42,22.030304,676,-1.197408,0.048956,0.003034,0.190179,30.586862
43,22.011181,677,-1.316350,0.048914,0.003041,0.160474,6.904283
44,21.987287,678,-1.172819,0.048861,0.002819,0.186792,30.578419
45,21.972668,679,-1.171601,0.048828,0.002772,0.152138,30.511295
46,21.957954,680,-1.118080,0.048795,0.002632,0.182046,30.590980
47,21.943455,681,-1.279282,0.048763,0.002752,0.175368,11.554796
48,21.915928,682,-1.263128,0.048702,0.002814,0.204333,14.868635
49,21.899122,683,-1.003943,0.048665,0.002661,0.207457,30.563253
50,21.888994,684,-1.220491,0.048642,0.003038,0.141511,17.258728
51,21.869987,685,-1.304652,0.048600,0.002939,0.171478,5.334760
52,21.854436,686,-1.211450,0.048565,0.002881,0.154014,24.919306
53,21.834781,687,-1.154922,0.048522,0.002654,0.202064,30.570479
54,21.822749,688,-1.170186,0.048495,0.002959,0.195306,27.753599
