iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,81,0.180401,0.090249,4.813224,368,22,0.139554
0,1,96,0.213808,0.153731,6.483133,353,21,0.237718
0,2,76,0.169265,0.128100,4.936916,373,21,0.748084
0,3,48,0.106904,0.000842,3.331831,401,101,0.001303
0,4,62,0.138085,0.053320,4.011159,387,22,0.082449
0,5,58,0.129176,0.058307,2.914025,391,41,0.090161
0,6,87,0.193764,0.075567,5.681834,362,27,0.116852
0,7,48,0.106904,0.089692,2.896627,401,38,0.138694
0,8,104,0.231626,0.137408,7.193834,345,21,0.212478
0,9,54,0.120267,0.000000,3.818116,395,37,0.000000
0,10,100,0.222717,0.107861,6.983976,349,21,0.166789
0,11,90,0.200445,0.000000,5.530722,359,23,0.000000
0,12,116,0.258352,0.187537,7.290747,333,21,0.289994
0,13,97,0.216036,0.067146,6.379587,352,21,0.103829
0,14,72,0.160356,0.054010,4.167887,377,21,0.083518
0,15,75,0.167038,0.009721,3.809365,374,22,0.015032
0,16,93,0.207127,0.178084,6.438073,356,21,0.275376
0,17,39,0.086860,0.000000,1.614099,410,186,0.000000
0,18,81,0.180401,0.000000,2.957331,368,22,0.000000
0,19,25,0.055679,0.000000,0.906294,424,279,0.000000
0,20,65,0.144766,0.000000,3.172088,384,23,0.000000
0,21,69,0.153675,0.000477,3.428676,380,27,0.000738
0,22,75,0.167038,0.010189,3.667233,374,21,0.015756
0,23,59,0.131403,0.135341,4.138189,390,21,0.209282
0,24,63,0.140312,0.015315,4.453356,386,29,0.023682
0,25,37,0.082405,0.000000,2.364600,412,181,0.000000
0,26,92,0.204900,0.175705,6.072404,357,21,0.271698
0,27,94,0.209354,0.056023,5.843077,355,22,0.086629
0,28,97,0.216036,0.081945,6.023368,352,21,0.126714
0,29,81,0.180401,0.068029,4.791005,368,25,0.105195
0,30,47,0.104677,0.000000,3.087852,402,42,0.000000
0,31,126,0.280624,0.053846,7.753321,323,21,0.083264
0,32,69,0.153675,0.118417,5.557188,380,47,0.183111
0,33,77,0.171492,0.057866,4.731057,372,22,0.089479
0,34,89,0.198218,0.000000,6.190909,360,22,0.000000
0,35,63,0.140312,0.030558,2.925484,386,25,0.047252
0,36,73,0.162584,0.000000,5.246486,376,23,0.000000
0,37,89,0.198218,0.157528,4.955984,360,21,0.793590
0,38,93,0.207127,0.074033,5.721696,356,21,0.114479
0,39,47,0.104677,0.000000,3.227989,402,119,0.000000
0,40,54,0.120267,0.000000,3.533231,395,32,0.000000
0,41,81,0.180401,0.066393,5.468250,368,21,0.102666
0,42,65,0.144766,0.000000,3.766420,384,25,0.000000
0,43,66,0.146993,0.062497,4.486155,383,28,0.096641
0,44,69,0.153675,0.000000,3.400586,380,21,0.000000
0,45,96,0.213808,0.216156,6.247572,353,21,0.884247
0,46,55,0.122494,0.000000,2.203571,394,74,0.000000
0,47,52,0.115813,0.000000,2.571582,397,43,0.000000
0,48,58,0.129176,0.000000,3.390004,391,22,0.000000
0,49,79,0.175947,0.094908,5.056049,370,21,0.146758
0,50,81,0.180401,0.060856,4.687614,368,23,0.094103
0,51,93,0.207127,0.000000,4.588974,356,21,0.000000
0,52,90,0.200445,0.000000,4.177070,359,21,0.000000
0,53,39,0.086860,0.000000,2.649533,410,161,0.000000
0,54,92,0.204900,0.047559,3.854593,357,21,0.073542
0,55,79,0.175947,0.142246,4.967627,370,21,0.219959
0,56,91,0.202673,0.069366,5.756402,358,21,0.107262
0,57,31,0.069042,0.000000,1.734159,418,216,0.000000
0,58,67,0.149220,0.065398,2.765312,382,22,0.101127
0,59,64,0.142539,0.000000,3.447892,385,35,0.000000
0,60,86,0.191537,0.097650,5.201819,363,21,0.150999
0,61,78,0.173719,0.000000,3.566383,371,21,0.000000
0,62,77,0.171492,0.000000,4.727065,372,22,0.000000
0,63,101,0.224944,0.000000,6.523609,348,21,0.000000
0,64,69,0.153675,0.000000,4.242071,380,25,0.000000
0,65,50,0.111359,0.000000,2.756349,399,56,0.000000
0,66,61,0.135857,0.001903,3.211315,388,37,0.002943
0,67,67,0.149220,0.000000,3.827240,382,30,0.000000
0,68,60,0.133630,0.000000,3.204607,389,39,0.000000
0,69,49,0.109131,0.000000,3.084631,400,113,0.000000
0,70,76,0.169265,0.000000,3.516307,373,23,0.000000
0,71,93,0.207127,0.098732,6.430972,356,21,0.152671
0,72,85,0.189310,0.092330,5.434182,364,21,0.142772
0,73,89,0.198218,0.025045,5.715489,360,21,0.038728
0,74,98,0.218263,0.041206,6.506739,351,22,0.063719
0,75,61,0.135857,0.049070,3.492131,388,24,0.075878
0,76,67,0.149220,0.064993,4.593736,382,22,0.100501
0,77,87,0.193764,0.000000,6.761453,362,21,0.000000
0,78,105,0.233853,0.031524,6.162457,344,25,0.048747
0,79,87,0.193764,0.000000,4.714091,362,21,0.000000
0,80,70,0.155902,0.099857,5.420847,379,23,0.154412
0,81,90,0.200445,0.070653,4.635580,359,22,0.109252
0,82,121,0.269488,0.213563,7.417867,328,21,0.330238
0,83,79,0.175947,0.008370,5.530047,370,21,0.012943
0,84,52,0.115813,0.018281,4.236349,397,49,0.028268
0,85,56,0.124722,0.019668,1.988528,393,45,0.030413
0,86,105,0.233853,0.000000,5.937591,344,21,0.000000
0,87,72,0.160356,0.053196,4.394852,377,21,0.082258
0,88,83,0.184855,0.156896,6.373713,366,23,0.242612
0,89,44,0.097996,0.000000,1.116000,405,54,0.000000
0,90,57,0.126949,0.000000,3.297962,392,25,0.000000
0,91,49,0.109131,0.000000,2.876463,400,43,0.000000
0,92,70,0.155902,0.000000,4.006167,379,23,0.000000
0,93,56,0.124722,0.000000,2.554909,393,33,0.000000
0,94,71,0.158129,0.000000,4.861844,378,21,0.000000
0,95,62,0.138085,0.106600,3.546284,387,26,0.164838
0,96,61,0.135857,0.000000,3.667779,388,26,0.000000
0,97,66,0.146993,0.000000,4.102112,383,21,0.000000
0,98,54,0.120267,0.026794,3.398538,395,30,0.041432
0,99,76,0.169265,0.045482,5.589262,373,24,0.070329
0,100,109,0.242762,0.259349,6.434760,340,21,0.951038
0,101,71,0.158129,0.069653,4.756914,378,23,0.107706
