iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,4,0.400000,0.500000,1.500000,6,2,0
0,1,4,0.400000,0.500000,1.000000,6,2,1
0,2,4,0.400000,0.000000,1.000000,6,3,0
0,3,4,0.400000,1.000000,1.500000,6,2,1
0,4,4,0.400000,0.000000,1.000000,6,2,0
0,5,3,0.300000,0.500000,2.000000,7,2,0
0,6,3,0.300000,0.000000,1.000000,7,3,0
0,7,3,0.300000,0.000000,1.000000,7,4,0
0,8,3,0.300000,0.000000,1.000000,7,3,0
0,9,3,0.300000,0.500000,1.500000,7,2,0
0,10,5,0.500000,0.500000,1.000000,5,2,1
1,0,4,0.400000,0.666667,1.000000,6,2,1
1,1,4,0.400000,0.000000,1.000000,6,3,0
1,2,4,0.400000,0.000000,1.000000,6,3,0
1,3,4,0.400000,0.666667,2.000000,6,3,0
1,4,4,0.400000,0.666667,1.000000,6,2,1
1,5,3,0.300000,0.333333,1.000000,7,2,1
1,6,3,0.300000,0.000000,1.000000,7,3,0
1,7,3,0.300000,0.000000,1.000000,7,4,0
1,8,3,0.300000,0.333333,1.666667,7,3,0
1,9,3,0.300000,0.333333,1.000000,7,2,1
1,10,5,0.500000,0.333333,1.000000,5,3,0
2,0,4,0.400000,0.000000,1.000000,6,3,0
2,1,4,0.400000,0.000000,1.000000,6,3,0
2,2,4,0.400000,0.500000,1.000000,6,3,1
2,3,4,0.400000,0.500000,1.000000,6,3,1
2,4,4,0.400000,0.500000,1.000000,6,3,0
2,5,3,0.300000,0.500000,1.000000,7,3,0
2,6,3,0.300000,0.500000,1.000000,7,3,0
2,7,3,0.300000,0.000000,1.000000,7,4,0
2,8,3,0.300000,0.000000,1.000000,7,3,0
2,9,3,0.300000,0.000000,1.500000,7,3,0
2,10,5,0.500000,0.500000,1.000000,5,3,1
3,0,4,0.400000,0.333333,1.333333,6,3,0
3,1,4,0.400000,0.333333,1.000000,6,3,1
3,2,4,0.400000,0.333333,1.000000,6,4,0
3,3,4,0.400000,0.333333,1.000000,6,4,1
3,4,4,0.400000,0.333333,1.000000,6,3,0
3,5,3,0.300000,0.333333,1.000000,7,3,0
3,6,3,0.300000,0.333333,1.000000,7,3,1
3,7,3,0.300000,0.000000,1.000000,7,4,0
3,8,3,0.300000,0.333333,1.000000,7,3,1
3,9,3,0.300000,0.000000,1.000000,7,3,0
3,10,5,0.500000,0.333333,1.000000,5,4,0
4,0,4,0.400000,0.333333,1.000000,6,3,1
4,1,4,0.400000,0.250000,1.000000,6,4,0
4,2,4,0.400000,0.250000,1.000000,6,4,0
4,3,4,0.400000,0.333333,1.000000,6,5,0
4,4,4,0.400000,0.333333,1.000000,6,3,1
4,5,3,0.300000,0.166667,1.000000,7,3,0
4,6,3,0.300000,0.250000,1.000000,7,4,0
4,7,3,0.300000,0.250000,1.000000,7,4,0
4,8,3,0.300000,0.166667,1.083333,7,4,0
4,9,3,0.300000,0.166667,1.000000,7,3,0
4,10,5,0.500000,0.416667,1.000000,5,4,1
5,0,4,0.400000,0.300000,1.000000,6,4,1
5,1,4,0.400000,0.300000,1.000000,6,4,0
5,2,4,0.400000,0.300000,1.000000,6,4,1
5,3,4,0.400000,0.300000,1.000000,6,5,0
5,4,4,0.400000,0.300000,1.000000,6,4,0
5,5,3,0.300000,0.200000,1.000000,7,3,1
5,6,3,0.300000,0.200000,1.000000,7,4,0
5,7,3,0.300000,0.200000,1.000000,7,4,1
5,8,3,0.300000,0.200000,1.000000,7,4,0
5,9,3,0.300000,0.200000,1.000000,7,3,0
5,10,5,0.500000,0.400000,1.000000,5,5,0
